$DATA1
$OPTION MEASFORM=3
$index=1 is a nominal sample in Monte Carlo.
.TITLE '* the first line is always a comment'
index,delay_read,temper,alter#
212, 9.447841e-11,  27.0000000,1
213, 8.364399e-11,  27.0000000,1
214, 9.303741e-11,  27.0000000,1
215, 9.278109e-11,  27.0000000,1
216, 9.495037e-11,  27.0000000,1
217, 9.478328e-11,  27.0000000,1
218, 9.233530e-11,  27.0000000,1
219, 9.238407e-11,  27.0000000,1
220, 8.929151e-11,  27.0000000,1
221, 9.438375e-11,  27.0000000,1
222, 8.799457e-11,  27.0000000,1
223, 9.163882e-11,  27.0000000,1
224, 8.885838e-11,  27.0000000,1
225, 9.372571e-11,  27.0000000,1
226, 8.989227e-11,  27.0000000,1
227, 9.240117e-11,  27.0000000,1
228, 9.102547e-11,  27.0000000,1
229, 9.578719e-11,  27.0000000,1
230, 9.318147e-11,  27.0000000,1
231, 1.003873e-10,  27.0000000,1
232, 9.170119e-11,  27.0000000,1
233, 8.932991e-11,  27.0000000,1
234, 9.027237e-11,  27.0000000,1
235, 9.163036e-11,  27.0000000,1
236, 9.205298e-11,  27.0000000,1
237, 8.821121e-11,  27.0000000,1
238, 9.613473e-11,  27.0000000,1
239, 9.113385e-11,  27.0000000,1
240, 8.744707e-11,  27.0000000,1
241, 9.587401e-11,  27.0000000,1
242, 8.743674e-11,  27.0000000,1
243, 9.239116e-11,  27.0000000,1
244, 9.361621e-11,  27.0000000,1
245, 8.448233e-11,  27.0000000,1
246, 1.002697e-10,  27.0000000,1
247, 8.752664e-11,  27.0000000,1
248, 8.494117e-11,  27.0000000,1
249, 8.509568e-11,  27.0000000,1
250, 9.184332e-11,  27.0000000,1
251, 9.315605e-11,  27.0000000,1
252, 9.002655e-11,  27.0000000,1
253, 9.754767e-11,  27.0000000,1
254, 8.999012e-11,  27.0000000,1
255, 8.665916e-11,  27.0000000,1
256, 9.156095e-11,  27.0000000,1
257, 9.118971e-11,  27.0000000,1
258, 8.730431e-11,  27.0000000,1
259, 8.978782e-11,  27.0000000,1
260, 8.759319e-11,  27.0000000,1
261, 8.686678e-11,  27.0000000,1
262, 9.143600e-11,  27.0000000,1
263, 8.730619e-11,  27.0000000,1
264, 9.429609e-11,  27.0000000,1
265, 8.516865e-11,  27.0000000,1
266, 9.413588e-11,  27.0000000,1
267, 8.587423e-11,  27.0000000,1
268, 9.634888e-11,  27.0000000,1
269, 9.035023e-11,  27.0000000,1
270, 9.081625e-11,  27.0000000,1
271, 9.268441e-11,  27.0000000,1
272, 9.237706e-11,  27.0000000,1
273, 9.349533e-11,  27.0000000,1
274, 9.369178e-11,  27.0000000,1
275, 8.871392e-11,  27.0000000,1
276, 9.403610e-11,  27.0000000,1
277, 9.726416e-11,  27.0000000,1
278, 8.894388e-11,  27.0000000,1
279, 8.632630e-11,  27.0000000,1
280, 8.929104e-11,  27.0000000,1
281, 8.606750e-11,  27.0000000,1
282, 9.005624e-11,  27.0000000,1
283, 9.251118e-11,  27.0000000,1
284, 9.304780e-11,  27.0000000,1
285, 9.522846e-11,  27.0000000,1
286, 9.943009e-11,  27.0000000,1
287, 8.742361e-11,  27.0000000,1
288, 8.722532e-11,  27.0000000,1
289, 8.561585e-11,  27.0000000,1
290, 8.957636e-11,  27.0000000,1
291, 9.076392e-11,  27.0000000,1
292, 9.096627e-11,  27.0000000,1
293, 8.937771e-11,  27.0000000,1
294, 9.279805e-11,  27.0000000,1
295, 9.054121e-11,  27.0000000,1
296, 8.927073e-11,  27.0000000,1
297, 9.636731e-11,  27.0000000,1
298, 9.180235e-11,  27.0000000,1
299, 8.941658e-11,  27.0000000,1
300, 9.002344e-11,  27.0000000,1
301, 9.623001e-11,  27.0000000,1
302, 9.137347e-11,  27.0000000,1
303, 9.352520e-11,  27.0000000,1
304, 9.239455e-11,  27.0000000,1
305, 8.724198e-11,  27.0000000,1
306, 9.497926e-11,  27.0000000,1
